iter	Passed	Remaining
131	12825	26040
132	12926	25949
133	13017	25841
134	13110	25734
135	13200	25624
136	13300	25533
137	13409	25459
138	13503	25356
139	13595	25248
140	13647	25068
141	13743	24970
142	13833	24861
143	13925	24755
144	14018	24653
145	14112	24551
146	14203	24444
147	14297	24345
148	14405	24266
149	14499	24165
150	14595	24067
151	14686	23962
152	14780	23861
153	14873	23759
154	14969	23661
155	15060	23556
156	15153	23454
157	15245	23350
158	15340	23251
159	15431	23146
160	15527	23049
161	15616	22942
162	15710	22842
163	15804	22743
164	15893	22635
165	15985	22533
166	16076	22429
167	16170	22330
168	16272	22241
169	16366	22142
170	16456	22038
171	16546	21934
172	16635	21827
173	16726	21724
174	16817	21622
175	16907	21518
176	17005	21424
177	17097	21323
178	17194	21229
179	17286	21128
180	17380	21029
181	17470	20925
182	17559	20822
183	17647	20717
184	17739	20616
185	17835	20520
186	17927	20419
187	18014	20313
188	18106	20214
189	18199	20115
190	18284	20007
191	18377	19908
192	18469	19809
193	18561	19709
194	18653	19610
195	18771	19537
196	18865	19440
197	18964	19347
198	19055	19247
199	19147	19147
200	19239	19047
201	19331	18948
202	19428	18854
203	19519	18753
204	19606	18649
205	19695	18547
206	19786	18448
207	19875	18346
208	19966	18246
209	20054	18144
210	20142	18041
211	20232	17941
212	20325	17844
213	20417	17746
214	20508	17646
215	20600	17548
216	20691	17449
217	20784	17352
218	20875	17253
219	20963	17151
220	21052	17051
221	21138	16948
222	21227	16848
223	21320	16751
224	21413	16655
225	21508	16559
226	21605	16465
227	21697	16368
228	21787	16269
229	21879	16171
230	21969	16072
231	22058	15973
232	22148	15874
233	22246	15781
234	22335	15682
235	22426	15584
236	22519	15487
237	22613	15392
238	22705	15295
239	22792	15194
240	22885	15098
241	22975	15000
242	23071	14906
243	23161	14807
244	23254	14711
245	23347	14615
246	23439	14519
247	23529	14421
248	23621	14324
249	23713	14228
250	23807	14133
251	23901	14037
252	23993	13941
253	24090	13847
254	24182	13750
255	24281	13658
256	24372	13561
257	24464	13465
258	24555	13368
259	24649	13272
260	24740	13175
261	24829	13078
262	24920	12981
263	25012	12885
264	25104	12788
265	25198	12694
266	25292	12598
267	25385	12503
268	25478	12407
269	25568	12310
270	25669	12219
271	25761	12123
272	25849	12025
273	25933	11925
274	26028	11831
275	26117	11734
276	26211	11639
277	26310	11546
278	26400	11449
279	26491	11353
280	26582	11257
281	26677	11162
282	26766	11065
283	26860	10971
284	26959	10878
285	27049	10782
286	27140	10685
287	27237	10592
288	27328	10496
289	27423	10401
290	27516	10306
291	27619	10215
292	27730	10126
293	27837	10036
294	27924	9939
295	28007	9840
296	28095	9743
297	28189	9648
298	28285	9554
299	28377	9459
300	28473	9364
301	28565	9269
302	28662	9175
303	28758	9081
304	28856	8987
305	28945	8891
306	29043	8798
307	29137	8703
308	29232	8608
309	29327	8514
310	29419	8419
311	29517	8325
312	29611	8230
313	29713	8138
314	29812	8044
315	29913	7951
316	30016	7859
317	30115	7765
318	30216	7672
319	30317	7579
320	30413	7484
321	30517	7392
322	30621	7299
323	30723	7206
324	30817	7111
325	30910	7016
326	31001	6920
327	31097	6826
328	31187	6730
329	31277	6634
330	31367	6538
331	31453	6442
332	31544	6346
333	31630	6250
334	31719	6154
335	31808	6058
336	31902	5963
337	31997	5869
338	32085	5773
339	32177	5678
340	32269	5583
341	32366	5489
342	32455	5393
343	32541	5297
344	32648	5204
345	32758	5112
346	32863	5019
347	32977	4927
348	33087	4835
349	33213	4744
350	33322	4651
351	33445	4560
352	33575	4470
353	33682	4376
354	33795	4283
355	33902	4190
356	34006	4096
357	34097	4000
358	34193	3905
359	34309	3812
360	34414	3717
361	34508	3622
362	34593	3526
363	34688	3430
364	34803	3337
365	34898	3241
366	35001	3147
367	35102	3052
368	35210	2958
369	35318	2863
370	35431	2769
371	35535	2674
372	35645	2580
373	35751	2485
374	35860	2390
375	35962	2295
376	36073	2200
377	36181	2105
378	36282	2010
379	36375	1914
380	36477	1819
381	36592	1724
382	36704	1629
383	36804	1533
384	36894	1437
385	36984	1341
386	37073	1245
387	37165	1149
388	37261	1053
389	37363	958
390	37462	862
391	37560	766
392	37650	670
393	37745	574
394	37843	479
395	37934	383
396	38033	287
397	38125	191
398	38239	95
399	38343	0
