iter	Logloss
0	0.6531957282
1	0.6200581622
2	0.5937707987
3	0.5756411218
4	0.5583780566
5	0.5430280336
6	0.5272886626
7	0.5154870237
8	0.5029123668
9	0.4938458787
10	0.4855127519
11	0.4757334162
12	0.4678655931
13	0.4619354291
14	0.4551613286
15	0.4506482969
16	0.4467908725
17	0.4423515874
18	0.4387071395
19	0.4339214165
20	0.4301858867
21	0.4270794007
22	0.4235086431
23	0.4212057775
24	0.4192294824
25	0.4174969606
26	0.4156839924
27	0.4136533058
28	0.4116881448
29	0.4097766057
30	0.4086746276
31	0.4070128378
32	0.4057951854
33	0.4046572124
34	0.4034251993
35	0.4019101266
36	0.400910796
37	0.3998955332
38	0.3989778213
39	0.3981517635
40	0.3971625543
41	0.3964914726
42	0.3956290289
43	0.3948461114
44	0.3941194465
45	0.3934370583
46	0.3928088699
47	0.3923492174
48	0.3919346169
49	0.3914847673
50	0.3909527342
51	0.3905039943
52	0.3900596809
53	0.3895709597
54	0.3889742309
55	0.3885406143
56	0.3880695537
57	0.3875066294
58	0.387028009
59	0.3866995621
60	0.3862853389
61	0.3859487487
62	0.3854665063
63	0.3849996759
64	0.3847664113
65	0.3845417727
66	0.3842721615
67	0.3839340036
68	0.383683781
69	0.3833874177
70	0.3830036683
71	0.382677545
72	0.3823490815
73	0.3820269149
74	0.3817682091
75	0.3814265491
76	0.3812273308
77	0.3808359936
78	0.3805470869
79	0.3802982995
80	0.3799621828
81	0.3797473498
82	0.3794918371
83	0.3792720314
84	0.378911278
85	0.3785513309
86	0.3782943641
87	0.3780289509
88	0.3777921879
89	0.3775895864
90	0.3772808159
91	0.3771252557
92	0.3769075654
93	0.3765986194
94	0.3762909609
95	0.3761229896
96	0.3759083127
97	0.3756919024
98	0.3753059169
99	0.3751352678
100	0.3749518549
101	0.374674492
102	0.3744446977
103	0.3742844138
104	0.3741741998
105	0.3740373854
106	0.3738339107
107	0.3736070606
108	0.3734523897
109	0.3733028728
110	0.3730933883
111	0.3728717019
112	0.3727167138
113	0.3725785799
114	0.3723537838
115	0.3721357805
116	0.3719437615
117	0.3717442086
118	0.3715714961
119	0.3713673398
120	0.3712426826
121	0.3710463654
122	0.370718307
123	0.3704723405
124	0.3702969616
125	0.3701016653
126	0.3699277079
127	0.3697590883
128	0.3697070708
129	0.3695415636
130	0.3692661113
131	0.3691288174
132	0.3689091363
133	0.3687630653
134	0.3685467822
135	0.3683486205
136	0.3680185117
137	0.3678203085
138	0.3676406768
139	0.3675258125
140	0.3675177737
141	0.3674208119
142	0.3673363512
143	0.3671456002
144	0.3669989509
145	0.3668977932
146	0.3667947157
147	0.3666043749
148	0.3664287383
149	0.3663411154
150	0.3661823003
151	0.3658935071
152	0.3658336303
153	0.3656846964
154	0.3655996813
