iter	Logloss
155	0.3654184942
156	0.3653039794
157	0.3651509423
158	0.3650295946
159	0.3649457295
160	0.3647702358
161	0.3646534408
162	0.3644469344
163	0.3643022927
164	0.3641678753
165	0.3640054517
166	0.3638629763
167	0.3637680702
168	0.3635506901
169	0.3634324386
170	0.363320443
171	0.3632119054
172	0.3631526807
173	0.362940808
174	0.3627906069
175	0.3626710283
176	0.3623659371
177	0.3622029642
178	0.3620722348
179	0.3619496549
180	0.3618680488
181	0.3617518529
182	0.361637707
183	0.3615115836
184	0.3612707153
185	0.3611890805
186	0.3610944745
187	0.360867541
188	0.3607520295
189	0.3606891756
190	0.3605486123
191	0.3604225993
192	0.3603296347
193	0.3602170933
194	0.3600835609
195	0.3599581248
196	0.35979167
197	0.3596085073
198	0.3595106556
199	0.3593733623
200	0.3591475093
201	0.3590358116
202	0.3589357858
203	0.3588480741
204	0.3587567408
205	0.3585628414
206	0.3584118359
207	0.3583081844
208	0.3581982976
209	0.3581004115
210	0.3579930984
211	0.3578363416
212	0.3576751442
213	0.3575264884
214	0.357374414
215	0.3572838566
216	0.3571880326
217	0.3571099842
218	0.3569703436
219	0.3568256703
220	0.3567317702
221	0.3566241436
222	0.3564727743
223	0.3563337277
224	0.3562363229
225	0.3560378704
226	0.3558856678
227	0.3557774772
228	0.3556253019
229	0.3555094288
230	0.3553672131
231	0.3552356736
232	0.3551136723
233	0.3549955883
234	0.3549147826
235	0.3547752741
236	0.3546654299
237	0.3545792463
238	0.3544526639
239	0.3543265694
240	0.3541746584
241	0.354047856
242	0.3538360221
243	0.3537345227
244	0.3536228314
245	0.3534613447
246	0.3533565143
247	0.3531940151
248	0.3530518643
249	0.352913195
250	0.352755537
251	0.3526573347
252	0.35253375
253	0.3524062309
254	0.3522910776
255	0.3521313254
256	0.351977416
257	0.3518469897
258	0.3517085471
259	0.3516218564
260	0.3515024784
261	0.351307103
262	0.3511113684
263	0.351004708
264	0.3509022071
265	0.3508151423
266	0.3506914091
267	0.3504989176
268	0.350342255
269	0.3501818837
270	0.3500794143
271	0.3499299654
272	0.3498361241
273	0.3496980118
274	0.3495826567
275	0.3494644779
276	0.3493112854
277	0.3491781797
278	0.3490005912
279	0.3488825453
280	0.3487745324
281	0.3486415321
282	0.3484469262
283	0.3483343761
284	0.3481858038
285	0.3480730815
286	0.3479433882
287	0.3478312244
288	0.3477059866
289	0.3474828768
290	0.3473487118
291	0.3471525234
292	0.3470441571
293	0.346884841
294	0.3466550902
295	0.3465902553
296	0.3465325535
297	0.3464032702
298	0.3463347077
299	0.3462096048
300	0.3460695636
301	0.3459833627
302	0.3458425048
303	0.3456604217
304	0.345524137
305	0.3454776065
306	0.3453735414
307	0.345299453
308	0.3451537322
309	0.3450480159
310	0.3449636499
311	0.3448517016
312	0.3447211926
313	0.3446362795
314	0.344508325
315	0.3444000548
316	0.3442006206
317	0.3441195524
318	0.3439820724
319	0.3438463546
320	0.3437365816
321	0.3436506488
322	0.3435547428
323	0.3434669641
324	0.3434157538
325	0.3433412765
326	0.3432545478
327	0.3430884274
328	0.3429554417
329	0.3428766026
330	0.3427585705
331	0.3426739529
332	0.3425682479
333	0.342520475
334	0.3424079958
335	0.3423289947
336	0.3422116175
337	0.342092839
338	0.3419849097
339	0.3418951629
340	0.3418080657
341	0.3417226172
342	0.3416637924
343	0.3415913891
344	0.3414911681
345	0.3414074332
346	0.3413273567
347	0.341211786
348	0.3411130244
349	0.3410000084
350	0.3408485856
351	0.3407553965
352	0.3406800023
353	0.3405818295
354	0.3404540618
355	0.3403682336
356	0.3402991183
357	0.3402283145
358	0.3401681977
359	0.3400629307
360	0.3399623236
361	0.3398727364
362	0.3397881633
363	0.3397048684
364	0.3396089967
365	0.3394425352
366	0.3393285461
367	0.3392196215
368	0.3391334761
369	0.3390263469
370	0.3389692871
371	0.3388515101
372	0.3387198556
373	0.3386537008
374	0.3385654844
375	0.338465254
376	0.3383797454
377	0.3382967729
378	0.3381990276
379	0.3380989074
380	0.3379602073
381	0.3378693832
382	0.3377176033
383	0.3375890712
384	0.33747708
385	0.3373592816
386	0.337261985
387	0.3371886301
388	0.3370422955
389	0.3369322451
390	0.336854998
391	0.3367399653
392	0.3366650231
393	0.3365642963
394	0.3364307659
395	0.3363489477
396	0.3363120558
397	0.3362111011
398	0.336116632
399	0.3360395823
