ndvi,ndwi,nbr,blue,green,red,nir,swir1,swir2,temp,soil_moisture,wind_u,wind_v,elev,slope,aspect,landcover,month,NAME_1,NAME_2,veg_stress,fire_weather_idx,wind_speed,drought_proxy,terrain_roughness,hot_dry_stress,ndvi_anomaly,moisture_anomaly,temp_anomaly,month_sin,month_cos,cluster_id
0.4256379,-0.40183926,0.2901564,1315.5,1496.0,1412.5,3506.0,2815.0,1929.0,18.994602,0.2516403,-1.1382294,-0.3626483,448.0,7.0,82.0,10.0,1,Chaiyaphum,Khon San,-0.10931814584570192,14.2147946543394,1.1946045188752845,0.42982944884736995,42.74916021419578,-2.0764546717170616,0.07613536500000001,0.006419459999999988,-1.525821999999998,0.49999999999999994,0.8660254037844387,0
0.394184545,-0.37467903999999996,0.266892605,1445.5,1587.5,1521.5,3490.75,2935.25,2041.0,26.6455175,0.303118975,0.7327615000000001,0.7592318,901.0,7.0,107.0,10.0,4,Chaiyaphum,Khon San,-0.08644568937341336,18.568755547055435,1.055164604226985,0.4221812952412413,47.63230164043837,-2.3033901289988497,0.00766953250000002,0.0018847275000000163,0.2565837500000008,0.8660254037844387,-0.4999999999999998,0
0.48456397500000004,-0.445894945,0.37258607,1214.5,1370.5,1241.5,3579.0,2408.5,1635.5,19.248537499999998,0.31471764999999996,-1.5981236,-0.6017456299999999,969.0,3.5,241.5,10.0,12,Chaiyaphum,Khon San,-0.19549060539532515,13.190683012063124,1.7076582925459816,0.3532192104866587,24.070536250241002,-3.7629082488496177,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,0
0.37884548,-0.38506943,0.25066626,1500.0,1771.0,1797.0,3989.0,3586.0,2390.0,26.13235,0.29934952,0.29070288,0.6285535,1155.0,11.0,111.0,30.0,4,Chaiyaphum,Nong Bua Daeng,-0.053201320124989925,18.309643571027998,0.6925226832404441,0.4352122125921695,77.57993154155555,-1.3902755179682804,-0.007669532499999965,-0.0018847275000000163,-0.2565837500000008,0.8660254037844387,-0.4999999999999998,0
0.5423908,-0.4733651,0.38574338,1616.0,1824.0,1514.0,5103.0,3592.0,2262.0,24.618572,0.47579902,0.8588006,0.6197838,562.0,11.0,70.0,10.0,6,Chaiyaphum,Nong Bua Daeng,-0.17377803333251546,12.905079568600561,1.0590894340436032,0.23987919109701605,69.6660759095366,-4.278167025614932,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0
0.6102984,-0.52804,0.4165487,1433.0,1700.0,1332.0,5504.0,3653.0,2267.0,23.953745,0.47876957,0.35003948,0.29186594,562.0,11.0,70.0,10.0,9,Chaiyaphum,Nong Bua Daeng,-0.2021404389863339,12.48542080646035,0.45575581673825516,0.203124332539688,69.6660759095366,-4.842020529666701,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,0
0.42687206,-0.41769385,0.290950305,1517.25,1741.25,1693.25,4391.25,3428.75,2341.5,25.131068499999998,0.282795835,-0.9243755600000001,-0.2457286575,522.5,6.5,239.5,10.0,2,Chaiyaphum,Phakdi Chumphol,-0.12308184141648569,18.0241069991003,0.9564793510798161,0.41104974564587016,40.693490697018845,-3.0931781877438387,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0
0.3695817633333333,-0.3642494,0.23680823333333334,1537.8333333333333,1722.3333333333333,1712.6666666666667,3705.0,3317.1666666666665,2310.6666666666665,27.325298000000004,0.25180309333333334,-0.5675779,0.221355,398.6666666666667,7.333333333333333,106.33333333333333,10.0,3,Chaiyaphum,Phakdi Chumphol,-0.05522986731703467,20.444703437344856,0.6092148295908513,0.4716769745802546,43.93129301996897,-1.509172582938433,0.0,0.0,0.0,1.0,6.123233995736766e-17,1
0.5501949,-0.47907627,0.4478835,1484.0,1680.5,1384.5,4771.5,2815.0,1819.5,25.749786,0.46863413,0.79817367,0.5431302,472.0,7.0,124.0,10.0,7,Chaiyaphum,Phakdi Chumphol,-0.25789230867226093,13.682557440203821,0.9654385644013341,0.239011078291937,43.11366771944353,-6.640671759356663,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0
0.6649505,-0.5741388,0.5200675,1346.0,1706.0,1269.0,6306.0,3461.0,1991.0,25.134089,0.46648,1.2612667,0.4671518,631.0,11.0,148.0,10.0,8,Chaiyaphum,Phakdi Chumphol,-0.29128698676243603,13.40953916328,1.3449998114394401,0.17875560924,70.93778333561544,-7.321233049828889,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0
0.27336717,-0.3265689,0.0895721,1657.0,1974.5,2219.5,3889.5,4118.0,3250.0,22.046246,0.23880138,-2.5862913,-0.82346624,611.0,2.0,237.0,10.0,1,Chaiyaphum,Thep Sathit,0.028535747732933405,16.78157203138052,2.7142216816014546,0.5531119074426947,12.833464565024652,0.6291061143141922,-0.07613536500000001,-0.006419459999999988,1.5258220000000016,0.49999999999999994,0.8660254037844387,1
0.41936582647058823,-0.3985021394117647,0.2567656429411765,1349.2941176470588,1553.7058823529412,1482.7058823529412,3621.1176470588234,3089.735294117647,2157.5588235294117,18.31419094117647,0.2237390588235294,-0.20286303952941176,0.3014357485882353,937.0,8.352941176470589,209.47058823529412,10.0,1,Chiang Mai,Chai Prakarn,-0.07918253574020923,14.216591096883239,0.3633413317172456,0.45072363002316335,57.165440750522585,-1.450164078752722,0.02907119659929569,-0.013714455943475451,-1.6299553278090428,0.49999999999999994,0.8660254037844387,0
0.34446410875,-0.345064240625,0.1727642911875,1499.1875,1706.84375,1715.25,3506.03125,3359.25,2500.96875,21.7430091875,0.193199023375,0.22432124543749998,0.58099676625,775.0,4.75,161.875,10.0,2,Chiang Mai,Chai Prakarn,-0.021380223858799632,17.542281047241346,0.6227979315537169,0.5288869972732397,31.60722447087029,-0.4648704037926871,-0.01187057099794514,-0.042398367383365804,-1.1575906398219402,0.8660254037844386,0.5000000000000001,0
0.3340968113043478,-0.33478441239130435,0.17458265206521736,1518.1739130434783,1735.6141304347825,1739.179347826087,3494.6902173913045,3427.7554347826085,2460.0815217391305,24.446761684782608,0.20604471510869565,0.5138725216304347,0.6667606678260869,802.2391304347826,9.119565217391305,192.8695652173913,10.0,3,Chiang Mai,Chai Prakarn,-0.009669239162319265,19.409635638111396,0.8418044646155728,0.5286973558908844,60.99760237943691,-0.2363815854743861,0.001768927661773334,-0.03496588219876556,-1.3667142590506636,1.0,6.123233995736766e-17,0
